Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Diarra;Lassana;PSG;MET;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;46;46;0;1;0;4;0;3;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Raggi;Andrea;MON;STR;A;4231;DL;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;19;28;0;2;0;2;0;4;42;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Jovetic;Stevan;MON;STR;A;4231;FW;1;90;1;0;0;0;0;0;1;0;0;3;1;1;1;0;1;0;2;2;2;0;14;23;0;3;0;3;1;6;41;4;3;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Moutinho;Joao;MON;STR;A;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;1;1;0;0;57;65;0;1;0;5;0;2;77;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Vizcarrondo;Oswaldo;TRO;NTE;A;4411;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;1;45;51;0;5;0;8;0;5;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;9;0
Silva;Thiago;PSG;MET;H;433;DC;1;90;1;0;0;0;0;0;1;0;0;1;1;2;0;0;0;0;1;1;1;0;67;71;0;4;0;12;0;5;80;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Kawashima;Eiji;MET;PSG;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;30;0;0;0;3;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;4;1;0;0;0;0;0;0;0
Debuchy;Mathieu;ETI;REN;A;4231;DR;1;90;1;0;0;1;0;0;0;0;0;1;0;1;2;1;1;1;2;1;2;2;16;19;1;2;0;3;0;6;41;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;6;0
Cabella;Remy;ETI;REN;A;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;2;1;1;1;0;1;0;2;2;1;3;51;65;0;1;0;2;1;7;84;5;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Khazri;Wahbi;REN;ETI;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;6;1;0;4;2;3;0;0;0;2;3;23;29;0;1;0;7;3;6;56;4;2;4;0;1;0;0;5;0;0;0;0;0;2;2;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Roux;Nolan;MET;PSG;A;4231;FW;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;30;0;1;0;3;0;1;32;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Subotic;Neven;ETI;REN;A;4231;DC;1;90;1;0;0;0;0;0;1;0;0;1;1;3;0;0;0;0;1;1;0;0;41;42;0;3;0;6;0;4;51;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Subasic;Danijel;MON;STR;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36;0;1;0;16;0;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;3;1;0;0;0;2;2;0
Ruffier;Stephane;ETI;REN;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;32;0;0;0;11;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;3;2;0;0;0;0;1;1;0
Rony Lopes;;MON;STR;A;4231;AML;1;90;1;0;0;1;0;0;1;0;0;4;1;0;2;0;1;0;1;0;4;1;17;20;0;1;0;6;0;3;39;3;3;1;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Sakho;Diafra;REN;ETI;H;4231;FW;1;90;1;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;2;1;6;10;0;1;0;3;0;2;21;5;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Dossevi;Matthieu;MET;PSG;A;4231;AMR;1;90;1;0;0;0;0;0;0;0;0;2;1;0;5;2;3;0;2;2;1;3;27;30;2;0;0;7;0;5;56;6;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Fabinho;;MON;STR;A;4231;DMC;1;90;1;0;0;0;0;0;1;0;0;1;1;3;0;0;0;0;1;1;1;1;32;37;0;2;0;8;2;6;52;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Maignan;Mike;LIL;MTP;H;541;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;29;0;0;0;14;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;1;1;0;0;0;3;3;1
Glik;Kamil;MON;STR;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;21;29;0;2;0;0;0;4;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;11;0
Kimpembe;Presnel;PSG;MET;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;69;71;0;1;0;11;0;2;77;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Avelar;Danilo Fernando;AMN;DIJ;A;4231;AML;1;90;1;0;0;0;0;0;0;0;0;0;0;3;6;1;1;0;1;1;1;0;15;20;1;1;0;5;1;3;44;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
M'Vila;Yann;ETI;REN;A;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;1;41;48;0;1;0;4;0;2;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;6;0
Djilobodji;Papy;DIJ;AMN;H;442;DC;1;90;1;0;0;1;0;0;0;1;0;0;0;3;1;0;2;1;1;0;3;1;60;81;0;0;0;9;1;3;98;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Kone;Bakary;STR;MON;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;40;48;0;5;0;5;0;6;53;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0
Tatarusanu;Ciprian;NTE;TRO;H;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;27;0;0;0;12;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Butelle;Ludovic;ANG;BDX;A;4141;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;34;0;0;0;14;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0
Bouka Moutou;Arnold;DIJ;AMN;H;442;DL;1;90;1;0;0;1;0;0;0;0;0;1;0;2;4;2;0;0;1;0;1;2;37;40;2;2;0;6;2;7;71;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Traore;Ismael;ANG;BDX;A;4141;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;3;2;0;0;20;25;0;1;0;6;0;4;36;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Andreu;Yoann;ANG;BDX;A;4141;DL;1;90;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;5;2;0;0;18;24;0;2;0;4;1;8;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0
Yambere;Cedric;DIJ;AMN;H;442;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3;32;35;0;5;0;1;2;9;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;10;0
Poundje;Maxime;BDX;ANG;H;433;DL;1;90;1;0;0;0;0;0;0;0;0;1;0;3;12;1;1;0;6;4;3;0;45;52;1;5;1;4;1;12;93;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Plasil;Jaroslav;BDX;ANG;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;3;0;2;1;0;1;1;4;2;2;2;77;85;0;0;0;14;2;8;104;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Manceau;Vincent;ANG;BDX;A;4141;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;2;1;1;17;24;0;0;0;5;0;6;58;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Martinez;Pablo;STR;MON;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;1;1;2;33;42;0;2;0;3;0;5;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0
Soumaoro;Adama;LIL;MTP;H;541;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;1;2;37;39;0;2;0;5;0;5;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Amadou;Ibrahim;LIL;MTP;H;541;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;42;44;0;2;0;2;0;3;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Meite;Soualiho;BDX;ANG;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;2;0;63;66;0;1;0;6;8;10;91;4;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Lecomte;Benjamin;MTP;LIL;A;3421;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;20;0;0;0;7;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
Bellugou;Francois;TRO;NTE;A;4411;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;20;28;0;0;0;5;0;3;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pavlovic;Mateo;ANG;BDX;A;4141;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;19;26;0;3;0;4;0;5;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;8;0
Mbappe;Kylian;PSG;MET;H;433;FW;1;90;1;0;0;0;0;0;1;0;0;6;3;0;0;0;3;0;1;0;1;3;17;19;0;0;2;0;1;5;37;10;6;0;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Congre;Daniel;MTP;LIL;A;3421;DC;1;90;1;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;3;1;0;0;46;54;0;4;0;5;0;7;63;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Hilton;Vitorino;MTP;LIL;A;3421;DC;1;90;1;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;2;0;2;1;60;66;0;4;0;9;2;9;81;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Bensebaini;Ramy;REN;ETI;H;4231;DL;1;90;1;0;0;0;0;0;0;0;0;1;0;1;7;1;1;0;2;1;2;4;40;48;1;2;0;4;0;7;74;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Roussillon;Jerome;MTP;LIL;A;3421;ML;1;90;1;0;0;0;0;0;1;0;0;2;1;1;2;0;2;0;0;0;0;2;16;24;0;0;0;5;2;4;48;2;0;2;0;1;0;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Deplagne;Mathieu;TRO;NTE;A;4411;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;38;42;0;0;0;4;1;5;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Lasne;Paul;MTP;LIL;A;3421;MC;1;90;1;0;0;0;0;0;0;0;0;2;1;1;1;0;3;0;3;3;5;3;48;53;0;1;0;6;0;7;68;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Sabaly;Youssouf;BDX;ANG;H;433;DR;1;90;1;0;0;0;0;0;0;0;0;1;1;2;2;0;0;1;3;2;0;1;49;54;0;0;0;6;2;6;89;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Dubois;Leo;NTE;TRO;H;4231;DR;1;90;1;0;0;0;0;0;0;1;0;1;0;1;7;3;2;0;3;3;0;1;46;61;1;1;1;6;3;8;100;1;0;1;0;0;0;0;0;0;0;0;0;0;3;3;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;5;5;0
Rongier;Valentin;NTE;TRO;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;2;0;2;1;0;2;0;2;1;2;1;80;84;0;2;0;10;0;5;104;3;0;2;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sala;Emiliano;NTE;TRO;H;4231;FW;1;90;1;0;0;0;0;0;1;0;0;5;2;0;0;0;2;0;1;1;1;2;18;27;0;3;0;4;3;9;47;5;4;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Baysse;Paul;BDX;ANG;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;79;0;1;0;7;0;1;84;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Traore;Hamari;REN;ETI;H;4231;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;5;3;2;2;57;67;0;1;0;8;0;8;96;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Costil;Benoit;BDX;ANG;H;433;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;17;0;0;0;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Pedro Mendes;;MTP;LIL;A;3421;DC;1;90;1;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;2;2;1;0;59;65;0;0;0;8;0;2;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Andre;Benjamin;REN;ETI;H;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;3;2;1;44;57;0;7;0;4;0;13;70;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
