Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Khaoui;Saif-Eddine;TRO;LIL;H;4231;AMC;1;78;1;0;1;0;0;0;0;0;0;1;0;4;6;3;3;0;2;1;1;0;25;33;0;0;0;5;3;5;57;1;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thauvin;Florian;MAR;CAE;A;4231;AMR;1;78;1;0;1;1;0;0;1;0;0;3;1;0;2;0;0;0;1;0;2;0;38;54;0;0;0;1;3;4;76;8;1;2;0;1;0;1;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Diousse;Assane;ETI;NIC;A;4231;DMC;1;77;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;3;1;46;50;0;0;0;5;0;3;60;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mariano;;LYO;PSG;H;433;FW;1;77;1;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;4;0;7;10;0;0;0;3;0;0;17;2;1;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Martin;Jonas;STR;DIJ;H;4132;MC;1;77;1;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;1;1;3;1;31;38;0;2;0;4;2;6;52;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Congre;Daniel;MTP;TOU;H;3421;DC;1;76;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;4;4;4;2;47;51;1;4;0;7;1;10;65;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Riviere;Emmanuel;MET;MON;A;541;FW;1;72;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;20;0;2;0;4;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Payet;Dimitri;MAR;CAE;A;4231;AMC;1;72;1;0;1;0;0;0;1;0;0;3;1;2;8;2;2;0;1;1;0;5;26;42;1;0;1;5;1;7;69;4;2;1;1;0;1;0;1;0;1;1;0;0;3;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delaplace;Jonathan;CAE;MAR;H;4141;MC;1;69;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;3;2;15;23;0;1;0;6;0;4;35;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Aouar;Houssem;LYO;PSG;H;433;FWL;1;69;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;1;1;23;29;0;0;0;3;5;9;50;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mendes;Thiago;LIL;TRO;A;4141;MC;1;69;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;38;44;0;2;0;6;1;3;53;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Hunou;Adrien;REN;ANG;H;4231;AMC;1;68;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;25;31;0;0;0;6;0;1;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasne;Paul;MTP;TOU;H;3421;MC;1;68;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;2;1;3;1;32;37;0;1;0;5;1;5;48;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Azamoum;Karim;TRO;LIL;H;4231;DMC;1;68;1;0;1;0;0;0;0;0;0;0;0;1;3;0;0;1;2;0;3;0;23;26;0;3;0;9;1;6;41;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Monnet-Paquet;Kevin;ETI;NIC;A;4231;AMR;1;67;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;4;1;18;21;0;2;0;4;0;6;33;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gakpe;Serge;AMN;GUI;H;4231;AMR;1;67;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;14;23;0;1;0;3;1;3;36;2;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
