Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Moutinho;Joao;MON;NTE;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;1;1;0;35;42;0;0;0;5;0;1;58;2;1;0;0;0;0;0;1;0;0;0;0;0;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Di Maria;Angel;PSG;ETI;A;433;FWR;1;90;1;0;0;0;0;0;0;0;0;1;0;1;9;3;4;0;1;0;0;0;23;34;2;0;2;0;5;6;63;7;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Debuchy;Mathieu;ETI;PSG;H;4231;DR;1;90;1;0;0;0;0;0;0;0;0;1;0;2;2;1;2;0;2;2;0;1;27;30;1;2;0;6;0;5;57;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Grenier;Clement;GUI;TRO;H;4231;AMC;1;90;1;0;0;0;0;0;0;1;0;1;1;0;5;2;1;0;3;0;0;2;37;50;1;2;0;10;4;10;82;1;1;0;1;0;0;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;5;0
Sanogo;Yaya;TOU;DIJ;H;4231;FW;1;90;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;1;0;6;2;7;15;0;2;0;4;1;6;31;7;4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Marquinhos;;PSG;ETI;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;48;55;0;2;0;3;0;2;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Cabella;Remy;ETI;PSG;H;4231;AMC;1;90;1;0;0;0;0;0;1;0;0;3;2;1;4;1;4;0;3;2;1;6;48;52;0;0;1;9;3;12;81;4;2;1;2;0;1;0;4;0;1;0;0;1;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gradel;Max;TOU;DIJ;H;4231;AML;1;90;1;0;0;0;0;0;0;0;0;4;1;0;21;5;3;0;1;1;1;2;23;40;3;0;0;8;3;6;81;8;1;3;0;1;0;0;0;0;0;0;0;0;8;8;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Corgnet;Benjamin;STR;ANG;A;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;2;1;4;0;2;1;3;2;23;35;1;3;0;5;1;8;50;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Subotic;Neven;ETI;PSG;H;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;25;27;0;1;1;2;0;2;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
