Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Raggi;Andrea;MON;REN;A;4411;DL;1;90;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;4;1;0;0;20;27;0;0;0;5;0;4;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Falcao;Radamel ;MON;REN;A;4411;FW;1;90;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;3;14;15;0;3;1;2;0;6;30;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Vizcarrondo;Oswaldo;TRO;NIC;H;4141;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;1;40;45;0;0;0;4;0;3;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Rafael;;LYO;TOU;H;433;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;1;4;1;1;0;3;1;4;0;41;50;1;3;0;7;1;7;73;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Kawashima;Eiji;MET;STR;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;23;0;0;0;9;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;3;0;0;0;0;0;0;0;0
Grenier;Clement;GUI;BDX;H;4231;AMC;1;90;1;0;0;0;0;0;1;0;0;3;1;3;6;1;2;0;5;5;1;2;35;49;0;1;0;10;1;9;81;0;0;3;0;1;0;1;1;0;0;0;0;0;4;4;1;2;0;2;1;1;1;0;0;0;0;0;0;0;0;2;2;0
Sanogo;Yaya;TOU;LYO;A;4141;FW;1;90;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;12;16;0;5;0;0;0;9;26;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
Payet;Dimitri;MAR;DIJ;A;4231;AMR;1;90;1;0;0;0;0;0;1;1;1;3;2;0;7;2;6;0;0;0;1;1;38;51;0;0;1;5;3;4;73;6;3;0;2;0;1;0;2;0;2;1;0;1;6;6;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Luiz Gustavo;;MAR;DIJ;A;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;2;1;1;0;38;42;0;1;0;5;1;4;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Cabella;Remy;ETI;NTE;A;4231;AMC;1;90;1;0;0;0;0;0;2;1;0;6;4;0;1;1;2;0;5;4;3;4;48;58;0;0;0;9;3;12;93;8;4;2;3;1;1;1;5;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Gradel;Max;TOU;LYO;A;4141;ML;1;90;1;0;0;0;0;0;0;0;0;2;1;0;8;2;3;0;1;0;0;1;17;21;1;0;0;4;2;4;49;2;0;2;0;1;0;0;2;0;0;0;0;0;2;2;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Kakuta;Gael;AMN;LIL;A;4411;AMC;1;90;1;0;0;0;0;0;0;0;0;1;0;1;7;4;5;0;1;1;0;0;35;47;1;0;2;4;7;8;76;2;0;1;0;0;0;0;3;0;0;0;0;0;3;3;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Marcelo;;LYO;TOU;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;56;58;0;2;0;3;0;3;72;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;8;0
Khazri;Wahbi;REN;MON;H;4141;FW;1;90;1;0;0;0;0;0;0;0;0;2;1;0;3;0;4;0;2;2;4;4;28;36;0;0;1;6;2;8;55;7;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Dante;;NIC;TRO;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;3;0;0;2;3;1;1;0;2;77;90;0;4;1;6;1;7;111;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Roux;Nolan;MET;STR;A;4231;AML;1;90;1;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;2;2;3;3;14;23;0;4;0;4;2;11;38;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
