Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Dani Alves;;PSG;STR;H;433;DR;1;90;1;0;0;1;0;0;0;0;0;0;0;0;4;0;2;0;1;1;3;3;68;70;0;0;1;5;1;5;92;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Raggi;Andrea;MON;DIJ;H;4231;DL;1;90;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;2;34;41;1;3;0;4;0;4;59;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Moutinho;Joao;MON;DIJ;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;2;1;31;35;0;1;0;4;0;4;49;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Di Maria;Angel;PSG;STR;H;433;FWR;1;90;1;0;0;0;0;0;1;0;0;5;2;0;2;1;1;0;2;2;0;0;31;44;1;0;0;5;4;6;70;6;4;1;2;0;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
Rami;Adil;MAR;BDX;H;4231;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;1;69;84;0;5;0;9;1;8;96;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;6;0
Silva;Thiago;PSG;STR;H;433;DC;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;79;82;0;2;0;6;0;5;95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;5;0
Neymar;;PSG;STR;H;433;FWL;1;90;1;0;0;0;0;0;1;1;0;5;4;0;4;2;5;0;2;2;1;6;53;68;1;0;3;2;5;13;106;18;5;0;4;0;1;0;4;0;0;0;0;0;3;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Kawashima;Eiji;MET;TRO;A;442;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;25;0;1;0;12;0;1;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;7;1;0;0;0;0;1;1;1
Gradel;Max;TOU;AMN;A;433;FWL;1;90;1;0;0;0;0;0;0;0;0;4;3;0;10;4;2;0;1;0;2;4;12;16;3;1;1;1;5;11;63;8;2;2;1;2;0;0;2;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0
Abeid;Mehdi;DIJ;MON;A;433;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;2;1;0;52;57;0;0;0;6;3;6;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;0
Kakuta;Gael;AMN;TOU;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;1;0;1;5;21;34;1;1;1;4;3;10;60;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Debuchy;Mathieu;ETI;ANG;A;4231;DR;1;90;1;0;0;0;0;0;0;0;0;1;0;4;5;2;2;1;3;2;0;0;26;42;2;6;0;8;1;10;87;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Grenier;Clement;GUI;MTP;A;4231;AMC;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;32;48;0;1;0;2;1;2;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Luiz Gustavo;;MAR;BDX;H;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;2;1;1;1;0;0;1;6;3;0;1;61;63;0;0;0;8;0;7;80;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Cabella;Remy;ETI;ANG;A;4231;AMC;1;90;1;0;0;1;0;0;0;0;0;2;0;0;4;3;3;0;3;2;0;1;32;42;0;0;0;3;2;6;67;6;0;2;0;0;0;0;2;0;0;0;0;0;4;4;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Riviere;Emmanuel;MET;TRO;A;442;FW;1;90;1;0;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0;0;22;32;0;11;0;0;1;12;45;7;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
