IDRECHERCHE;JOURNEE;GamesPlayed;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches;6ButPrisSansPenal;5ButPrisSansPenal;4ButPrisSansPenal;3ButPrisSansPenal;2ButPrisSansPenal;1ButPrisSansPenal;CRouge60;CRouge75;CRouge80;CRouge85;CentreRate;Clean60;Clean60D;Ecart-5;Ecart-4;Ecart-3;Ecart-2;Ecart+2;Ecart+3;Ecart+4;GrossOccazRate;MalusDefaite;15PassOK30;15PassOK40;15PassOK50;15PassOK90;15PassOK95;15PassOK100;25PassOK30;25PassOK40;25PassOK50;25PassOK90;25PassOK95;25PassOK100;TackleLost;TirPasCadre;80BallonsTouch;90BallonsTouch;100BallonsTouch;BonusVict;CoupFrancRate
GrandsirSamuelTRO;201712;1;90;1;0;0;0;0;0;0;1;0;0;0;1;2;1;2;0;1;1;0;0;30;35;1;0;1;4;1;2;45;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
PeleBryanTRO;201712;1;90;1;0;0;0;0;0;0;0;0;1;0;0;3;1;3;0;1;0;0;1;19;24;0;0;1;2;0;2;37;2;1;0;0;0;0;0;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
IeEdgarLIL;201712;1;90;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;0;0;36;45;0;4;0;7;0;8;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0
ThuramMarcusGUI;201712;1;90;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2;0;2;16;21;0;3;0;1;1;7;37;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NiakhateMoussaMET;201712;1;90;1;0;0;0;0;0;0;0;0;1;1;3;0;0;0;2;0;0;1;3;24;31;0;3;0;9;0;6;42;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
PobleteGeronimoMET;201712;1;90;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;4;4;0;4;22;26;0;0;0;11;0;8;43;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Eboa_EboaFelixGUI;201712;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;3;0;44;51;0;3;0;7;1;5;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;8;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BourigeaudBenjaminREN;201712;1;90;1;0;0;0;0;0;0;0;0;1;1;3;5;3;1;0;2;1;2;0;20;26;0;0;1;6;0;2;44;2;1;0;1;0;0;0;2;0;0;0;0;0;4;4;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
CissSaliouANG;201712;1;90;1;0;0;0;0;0;0;0;0;1;1;1;3;0;1;0;2;1;0;1;31;38;0;0;1;6;1;4;49;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
MbengueAdamaCAE;201712;1;90;1;0;0;0;0;0;0;0;0;1;0;1;2;1;0;1;4;1;2;0;10;20;1;1;0;6;2;7;65;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
