ID;IDRECHERCHE1;PRENOM;NOM;TEAM;POS;PRIX;IDRECHERCHE2
;Ben_SaadaChaoukiTRO;Chaouki;Ben Saada;TRO;Midfielder;10;
;Assou-EkottoBenoitMET;Benoit;Assou-Ekotto;MET;Defender;10;
;CostilBenoitBDX;Benoit;Costil;BDX;Goalkeeper;10;
;TraoreBertrandLYO;Bertrand;Traore;LYO;Forward;10;
;KetkeophomphoneBillyANG;Billy;Ketkeophomphone;ANG;Forward;10;
;CorgnetBenjaminSTR;Benjamin;Corgnet;STR;Midfielder;10;
;AllainBobbyDIJ;Bobby;Allain;DIJ;Goalkeeper;10;
;KamaraBoubacarMAR;Boubacar;Kamara;MAR;Defender;10;
;SarrBounaMAR;Bouna;Sarr;MAR;Midfielder;10;
;BrandonREN;;Brandon;REN;Forward;10;
;FernandezBrianMET;Brian;Fernandez;MET;Forward;10;
;SambaBriceCAE;Brice;Samba;CAE;Goalkeeper;10;
;AvelarDanilo_FernandoAMN;Danilo Fernando;Avelar;AMN;Defender;10;
;LabeauBrightonAMN;Brighton;Labeau;AMN;Forward;10;
;CyprienWylanNIC;Wylan;Cyprien;NIC;Midfielder;10;
;DaboBryanETI;Bryan;Dabo;ETI;Midfielder;10;
;PassiBryanMTP;Bryan;Passi;MTP;Midfielder;10;
;CaceresRaphaelTRO;Raphael;Caceres;TRO;Forward;10;
;CafuBDX;;Cafu;BDX;Forward;10;
;CafuMET;;Cafu;MET;Midfielder;10;
;NingaCasimirMTP;Casimir;Ninga;MTP;Forward;10;
;MongonguCedricMTP;Cedric;Mongongu;MTP;Defender;10;
;VarraultCedricDIJ;Cedric;Varrault;DIJ;Defender;10;
;YambereCedricDIJ;Cedric;Yambere;DIJ;Defender;10;
;BoukholdaChahreddineLIL;Chahreddine;Boukholda;LIL;Midfielder;10;
;KwonChang-hoonDIJ;Chang-hoon;Kwon;DIJ;Midfielder;10;
;ConfaisAloisTRO;Alois;Confais;TRO;Midfielder;10;
;CordovalJeremyTRO;Jeremy;Cordoval;TRO;Defender;10;
;CharrierCharlyAMN;Charly;Charrier;AMN;Midfielder;10;
;MbengueCheikhETI;Cheikh;Mbengue;ETI;Defender;10;
;AwaziemChidozieNTE;Chidozie;Awaziem;NTE;Defender;10;
;PhilippsChrisMET;Chris;Philipps;MET;Defender;10;
;KouakouChristianCAE;Christian;Kouakou;CAE;Forward;10;
;DarbionStephaneTRO;Stephane;Darbion;TRO;Midfielder;10;
;DanteNIC;;Dante;NIC;Defender;10;
;Razzagui_CamaraAbdoulGUI;Abdoul;Razzagui Camara;GUI;Forward;10;
;KerbratChristopheGUI;Christophe;Kerbrat;GUI;Defender;10;
;JullienChristopherTOU;Christopher;Jullien;TOU;Defender;10;
;AouarHoussemLYO;Houssem;Aouar;LYO;Midfielder;10;
;Martins-PereiraChristopherLYO;Christopher;Martins-Pereira;LYO;Midfielder;10;
;TatarusanuCiprianNTE;Ciprian;Tatarusanu;NTE;Goalkeeper;10;
;GrenierClementLYO;Clement;Grenier;LYO;Midfielder;10;
;MichelinClementTOU;Clement;Michelin;TOU;Defender;10;
;N'jieClintonMAR;Clinton;N'jie;MAR;Forward;10;
;JeanCorentinTOU;Corentin;Jean;TOU;Midfielder;10;
;RepasJanCAE;Jan;Repas;CAE;Midfielder;10;
;Da_SilvaDamienCAE;Damien;Da Silva;CAE;Defender;10;
;Dani_AlvesPSG;;Dani Alves;PSG;Defender;10;
;CongreDanielMTP;Daniel;Congre;MTP;Defender;10;
;CarrilloGuidoMON;Guido;Carrillo;MON;Forward;10;
;MahouHichamNIC;Hicham;Mahou;NIC;Midfielder;10;
;GambettaAndreaNIC;Andrea;Gambetta;NIC;Goalkeeper;10;
;OberhauserDavidMET;David;Oberhauser;MET;Goalkeeper;10;
;PetricDenisGUI;Denis;Petric;GUI;Goalkeeper;10;
;NwakaemeDicksonANG;Dickson;Nwakaeme;ANG;Forward;10;
;De_SanctisMorganMON;Morgan;De Sanctis;MON;Goalkeeper;10;
;Diego_CarlosNTE;;Diego Carlos;NTE;Defender;10;
;Pereira_da_SilvaMatheusBDX;Matheus;Pereira da Silva;BDX;Midfielder;10;
;ContentoDiegoBDX;Diego;Contento;BDX;Defender;10;
;Gnampa_Habib_MaigaDigboETI;Digbo;Gnampa Habib Maiga;ETI;Midfielder;10;
;CagnonRomainREN;Romain;Cagnon;REN;Goalkeeper;10;
;Da_CostaNunoSTR;Nuno;Da Costa;STR;Forward;10;
;FoulquierDimitriSTR;Dimitri;Foulquier;STR;Defender;10;
;PayetDimitriMAR;Dimitri;Payet;MAR;Midfielder;10;
;DiakhabyAdamaMON;Adama;Diakhaby;MON;Forward;10;
;DoriaMAR;;Doria;MAR;Defender;10;
;AvounouDurelCAE;Durel;Avounou;CAE;Midfielder;10;
;BahamboulaDylanDIJ;Dylan;Bahamboula;DIJ;Midfielder;10;
;MboumbouniDylanLYO;Dylan;Mboumbouni;LYO;Defender;10;
;IeEdgarLIL;Edgar;Ie;LIL;Defender;10;
;CavaniEdinsonPSG;Edinson;Cavani;PSG;Forward;10;
;CavareDimitriREN;Dimitri;Cavare;REN;Defender;10;
;KawashimaEijiMET;Eiji;Kawashima;MET;Goalkeeper;10;
;SkhiriEllyesMTP;Ellyes;Skhiri;MTP;Midfielder;10;
;SalaEmilianoNTE;Emiliano;Sala;NTE;Forward;10;
;BourgaudEmmanuelAMN;Emmanuel;Bourgaud;AMN;Midfielder;10;
;ImorouEmmanuelCAE;Emmanuel;Imorou;CAE;Defender;10;
;RiviereEmmanuelMET;Emmanuel;Riviere;MET;Forward;10;
;KwatengEnockNTE;Enock;Kwateng;NTE;Defender;10;
;CrivelliEnzoANG;Enzo;Crivelli;ANG;Forward;10;
;MendylHamzaLIL;Hamza;Mendyl;LIL;Defender;10;
;PolletValereLIL;Valere;Pollet;LIL;Midfielder;10;
;SoumareBoubakaryLIL;Boubakary;Soumare;LIL;Midfielder;10;
;VeriteBenjaminLIL;Benjamin;Verite;LIL;Defender;10;
;BautheacEricLIL;Eric;Bautheac;LIL;Midfielder;10;
;DanzeRomainREN;Romain;Danze;REN;Defender;10;
;GasmiRomainSTR;Romain;Gasmi;STR;Midfielder;10;
;DeplagneMathieuTRO;Mathieu;Deplagne;TRO;Defender;10;
;DidotEtienneGUI;Etienne;Didot;GUI;Midfielder;10;
;NGassakiExauceCAE;Exauce;NGassaki;CAE;Forward;10;
